연령대,20세이하,20세이하,20세이하,21~30세,21~30세,21~30세,31~40세,31~40세,31~40세,41~50세,41~50세,41~50세,51~60세,51~60세,51~60세,61~64세,61~64세,61~64세,65세이상,65세이상,65세이상,미분류,미분류,미분류,합계,합계,합계
기준년도,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수
년도,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,53524,170,77141,146238,582,236344,236266,757,388682,256185,1027,399239,224941,1163,342209,46438,291,69588,73691,763,105201,92091,9,173831,1129374,4762,1792235
2015,51462,154,73940,147977,592,238099,233701,674,384279,257490,967,401294,232588,1090,354038,50389,325,75728,80291,815,115530,88027,4,166553,1141925,4621,1809461
2016,48432,146,72148,151162,522,242751,232512,583,384204,253444,898,396808,236325,1045,361065,58360,338,88188,86304,759,125706,89935,1,176067,1156474,4292,1846937
2017,44329,124,65335,147262,504,233084,221458,586,361666,241787,739,375185,234266,1066,352489,62513,317,93838,116165,848,173037,75395,1,148691,1143175,4185,1803325
2018,36339,97,56296,154221,420,245384,223808,511,361135,248618,636,384937,243725,940,366657,70198,330,105627,159444,843,241568,91776,4,173404,1228129,3781,1935008
