시도,시군구,발생년도,2014년,2014년,2015년,2015년,2016년,2016년,2017년,2017년,2018년,2018년
시도,시군구,발생년도,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상
부산,북구,사고건수,35,17,49,18,47,28,56,29,61,33
부산,북구,사망자수,1,0,0,0,0,2,2,2,0,0
부산,북구,부상자수,44,22,68,27,79,36,71,39,93,37
부산,해운대구,사고건수,62,29,68,52,74,44,82,47,81,51
부산,해운대구,사망자수,4,1,1,1,0,1,2,2,1,1
부산,해운대구,부상자수,94,46,105,60,108,56,123,53,113,67
부산,사하구,사고건수,57,34,61,37,55,44,73,42,80,41
부산,사하구,사망자수,0,1,3,0,1,1,0,2,0,0
부산,사하구,부상자수,109,40,91,81,70,63,96,52,110,63
부산,금정구,사고건수,53,42,72,28,68,33,69,34,67,49
부산,금정구,사망자수,2,1,1,0,2,1,1,0,1,0
부산,금정구,부상자수,66,56,107,42,102,53,103,47,98,61
부산,강서구,사고건수,26,18,28,17,24,13,36,20,45,26
부산,강서구,사망자수,2,2,0,1,2,0,1,2,0,1
부산,강서구,부상자수,45,35,52,28,39,19,58,24,56,39
부산,연제구,사고건수,46,25,36,19,47,20,56,22,59,36
부산,연제구,사망자수,0,0,0,0,2,0,1,1,3,0
부산,연제구,부상자수,67,39,50,22,57,22,65,29,77,46
부산,수영구,사고건수,43,23,50,27,49,20,47,28,61,36
부산,수영구,사망자수,1,0,0,2,0,0,1,0,0,0
부산,수영구,부상자수,59,28,62,38,64,25,56,32,97,46
부산,사상구,사고건수,56,20,64,25,72,42,69,32,71,46
부산,사상구,사망자수,2,0,0,1,1,1,3,3,2,0
부산,사상구,부상자수,71,25,96,28,107,59,83,47,97,64
부산,기장군,사고건수,29,16,21,25,32,16,30,23,36,20
부산,기장군,사망자수,2,0,0,0,1,0,1,1,0,2
부산,기장군,부상자수,55,18,39,40,45,44,50,33,58,31
대구,중구,사고건수,57,64,76,58,77,66,77,60,95,66
대구,중구,사망자수,1,3,2,2,0,3,0,0,1,1
대구,중구,부상자수,82,82,111,82,118,98,114,77,124,90
대구,동구,사고건수,102,67,119,77,129,93,128,97,166,121
대구,동구,사망자수,0,3,0,2,0,2,3,1,3,2
대구,동구,부상자수,146,87,159,116,183,130,187,126,228,160
대구,서구,사고건수,70,36,86,55,91,72,92,87,107,70
대구,서구,사망자수,1,1,0,0,1,2,2,2,1,1
대구,서구,부상자수,91,51,123,67,132,91,124,107,153,99
대구,남구,사고건수,65,53,58,42,55,55,78,57,70,52
대구,남구,사망자수,0,0,1,2,1,0,1,2,1,0
대구,남구,부상자수,87,65,75,54,79,67,96,82,102,69
대구,북구,사고건수,123,90,135,118,153,90,142,112,178,145
대구,북구,사망자수,2,1,2,1,3,2,1,4,1,4
대구,북구,부상자수,155,125,193,158,213,129,212,144,264,192
대구,수성구,사고건수,113,82,103,90,112,92,131,105,140,130
대구,수성구,사망자수,2,1,3,2,1,0,3,3,2,0
대구,수성구,부상자수,151,111,153,125,151,118,191,136,205,182
대구,달서구,사고건수,165,88,184,103,169,98,180,109,231,140
대구,달서구,사망자수,0,1,0,2,1,5,1,0,0,1
대구,달서구,부상자수,229,109,277,119,233,129,268,137,346,194
대구,달성군,사고건수,44,35,42,44,55,36,53,39,58,35
대구,달성군,사망자수,3,0,3,3,0,1,3,3,0,1
대구,달성군,부상자수,62,54,52,65,84,51,75,54,89,51
인천,중구,사고건수,11,14,24,9,17,19,19,14,34,20
인천,중구,사망자수,0,0,0,0,0,0,0,0,1,1
인천,중구,부상자수,15,21,38,9,28,26,26,25,48,25
인천,동구,사고건수,10,4,9,9,5,4,9,4,14,4
인천,동구,사망자수,0,1,0,1,0,0,0,0,0,1
인천,동구,부상자수,13,6,15,9,6,5,10,6,20,4
인천,남구,사고건수,51,34,67,46,75,38,73,39,80,47
인천,남구,사망자수,0,0,1,1,1,0,3,1,0,1
인천,남구,부상자수,75,48,98,68,93,50,87,60,117,58
인천,부평구,사고건수,54,24,67,27,65,36,72,22,74,32
인천,부평구,사망자수,1,1,0,0,0,1,0,0,0,0
인천,부평구,부상자수,66,35,85,42,84,49,129,32,107,42
인천,남동구,사고건수,84,33,100,52,106,53,96,49,114,58
