시도,시군구,2014 합계,2014,2015 합계,2015,2016 합계,2016,2017 합계,2017,2018 합계,2018,합계,고령운전자 사고합계,5년 고령운전자 사고비율
대전,유성구,7350,273,7950,353,8184,443,8866,724,9603,1007,41953,2800,6.674135341930255
대전,대덕구,5424,272,4975,287,5349,344,5592,487,5875,653,27215,2043,7.5068895829505795
울산,중구,4472,336,4619,317,4662,340,4837,480,4683,642,23273,2115,9.087784127529755
울산,남구,9825,459,10028,532,9911,561,10189,864,10602,1188,50555,3604,7.128869548017011
울산,동구,3472,139,3134,141,2663,156,2555,241,2453,277,14277,954,6.682076066400504
울산,북구,4341,158,4301,181,4090,216,4116,271,4369,431,21217,1257,5.924494509120045
울산,울주군,4510,239,4646,274,4509,292,4619,439,4812,585,23096,1829,7.919120193972982
세종,세종,1043,81,2070,128,3450,198,4178,389,4626,570,15367,1366,8.889178108934729
경기,수원시,22532,996,22745,1084,23706,1221,24387,1926,27229,2948,120599,8175,6.778663172994801
경기,성남시,19607,955,19442,1062,20495,1156,20999,1794,23106,2838,103649,7805,7.530222192206389
경기,의정부시,7839,518,7986,545,8035,559,8162,815,9518,1187,41540,3624,8.724121328839672
경기,안양시,10948,591,11184,671,11090,761,10628,993,11173,1375,55023,4391,7.980299147629173
경기,부천시,14967,708,15312,865,14843,889,16383,1400,16872,1932,78377,5794,7.392474833178101
경기,안산시,17423,612,17794,679,18022,775,18019,1223,19286,1856,90544,5145,5.682320197914826
경기,평택시,10813,603,10711,688,12515,716,13814,1093,14862,1586,62715,4686,7.471896675436499
경기,광명시,5066,299,5364,329,5698,387,5548,509,6203,762,27879,2286,8.199720219520069
경기,구리시,4508,233,4544,284,4767,331,5024,423,5664,721,24507,1992,8.128289876361857
경기,양주시,4424,276,4089,280,4194,307,4258,451,4942,595,21907,1909,8.714109645318848
경기,여주시,2493,168,1701,110,891,125,615,79,646,100,6346,582,9.171131421367791
경기,화성시,13624,611,14241,618,16052,742,17620,1320,19989,2190,81526,5481,6.723008610749945
경기,시흥시,11475,457,11671,499,12089,534,12815,877,14226,1370,62276,3737,6.000706532211446
경기,파주시,7310,467,7306,488,7717,498,8052,777,9036,1151,39421,3381,8.576646964815707
경기,고양시,18994,1048,18246,1110,19682,1248,21842,1866,24947,2989,103711,8261,7.965403862656806
경기,광주시,6782,407,6836,448,8073,531,8663,812,9809,1224,40163,3422,8.520279859572243
경기,연천군,730,97,737,99,791,118,883,143,810,160,3951,617,15.616299670969374
경기,포천시,4317,289,4264,336,4278,320,3973,443,4343,598,21175,1986,9.378984651711924
경기,가평군,2106,172,2098,151,2330,168,2399,256,2389,334,11322,1081,9.547783077194842
경기,양평군,2178,206,2438,301,2595,326,2592,396,2485,432,12288,1661,13.517252604166666
경기,이천시,4951,269,4897,325,5228,339,5399,535,5855,750,26330,2218,8.423851120394987
경기,용인시,17266,926,18146,986,18670,1014,19764,1745,22858,2700,96704,7371,7.622228656518862
경기,안성시,5114,313,4870,296,5031,331,5227,458,5823,706,26065,2104,8.07212737387301
경기,김포시,7351,449,7619,484,8237,548,8548,849,9889,1256,41644,3586,8.611084429929882
경기,동두천시,1699,142,1718,176,1773,160,1714,230,1885,255,8789,963,10.956877915576287
경기,과천시,1579,72,1695,108,1524,72,1446,132,1463,169,7707,553,7.1752951861943695
경기,군포시,3867,208,4235,245,4279,259,4266,389,4453,496,21100,1597,7.568720379146919
경기,남양주시,10364,598,10598,699,11615,816,11236,1102,12225,1563,56038,4778,8.526357114814948
경기,오산시,4477,206,4248,194,4764,220,5429,396,5963,594,24881,1610,6.4708010128210285
경기,의왕시,3043,151,3479,181,3418,200,3320,286,3894,426,17154,1244,7.251952897283433
경기,하남시,3688,249,3940,273,4675,324,5211,500,6066,809,23580,2155,9.139100932994063
강원,춘천시,6796,527,6559,578,6750,639,6995,723,7725,1071,34825,3538,10.159368269921034
강원,원주시,9044,571,8752,581,9485,649,8951,887,9668,1281,45900,3969,8.647058823529411
강원,동해시,1811,164,1800,177,1707,165,1799,231,1647,246,8764,983,11.216339570972158
강원,강릉시,4927,452,4627,443,4936,534,5128,692,5335,889,24953,3010,12.062677834328538
강원,속초시,1790,127,1762,158,1761,160,1862,216,2044,292,9219,953,10.337346783816031
강원,태백시,700,65,716,84,740,98,716,125,830,169,3702,541,14.613722312263642
강원,삼척시,1223,115,1180,128,1224,175,1096,189,1173,238,5896,845,14.331750339213025
강원,홍천군,1352,130,1308,149,1472,164,1412,189,1450,259,6994,891,12.739490992279096
강원,횡성군,1008,75,1027,98,1215,113,1073,144,977,185,5300,615,11.60377358490566
강원,영월군,580,98,539,68,571,76,569,91,564,110,2823,443,15.692525681898688
강원,평창군,1406,105,1389,90,1477,143,1497,200,1110,154,6879,692,10.059601686291613
강원,정선군,664,62,687,67,633,54,707,86,704,122,3395,391,11.516936671575847
강원,철원군,576,67,580,81,586,88,582,101,627,136,2951,473,16.02846492714334
강원,화천군,321,41,262,35,313,39,284,49,356,51,1536,215,13.997395833333334
강원,양구군,268,31,292,35,264,26,294,47,309,54,1427,193,13.524877365101611
강원,인제군,598,46,701,58,749,64,712,83,623,97,3383,348,10.286727756429205
강원,고성군,525,51,469,65,471,55,479,65,458,68,2402,304,12.656119900083265
강원,양양군,580,68,576,91,580,58,638,108,730,110,3104,435,14.014175257731958
충북,청주시,17603,907,15486,973,14294,973,14291,1308,16185,1801,77859,5962,7.657432024557212
충북,충주시,4659,416,4776,423,5012,472,5173,603,5461,728,25081,2642,10.533870260356446
충북,제천시,3078,252,2949,294,2864,307,2965,399,3102,498,14958,1750,11.699425056825778
충북,청원군,1750,99,790,41,360,22,154,7,193,12,3247,181,5.574376347397598
충북,보은군,485,80,504,79,546,85,658,126,733,141,2926,511,17.464114832535884
충북,옥천군,994,110,1016,146,1110,144,1087,200,1102,207,5309,807,15.200602750047091
충북,영동군,681,103,636,94,659,105,680,134,620,127,3276,563,17.185592185592185
충북,진천군,1557,112,1749,132,1856,130,2121,207,2481,308,9764,889,9.10487505120852
충북,괴산군,678,96,766,86,749,94,936,129,1195,196,4324,601,13.899167437557816
충북,음성군,2272,172,2409,188,2383,191,2446,279,2691,349,12201,1179,9.663142365379887
충북,단양군,487,69,533,81,534,53,603,97,588,105,2745,405,14.754098360655737
충북,증평군,668,53,685,62,677,76,669,83,730,120,3429,394,11.490230387868184
충남,천안시,16321,754,16578,723,17729,834,18024,1352,19562,2096,88214,5759,6.528442197383636
충남,아산시,6896,367,7016,384,7826,498,8656,735,8610,983,39004,2967,7.6069121115783
충남,보령시,2177,248,2175,290,2167,262,2188,330,2280,428,10987,1558,14.180395012287248
충남,공주시,2967,233,2905,246,3239,261,3735,452,3908,558,16754,1750,10.445266801957741
충남,서산시,4044,329,3786,329,3916,335,3907,496,4215,628,19868,2117,10.655325145963358
충남,금산군,1018,157,1023,143,1000,175,1021,175,1089,231,5151,881,17.103475053387694
충남,태안군,1395,167,1269,178,1254,171,1314,247,1168,240,6400,1003,15.671874999999998
충남,연기군,911,71,567,50,269,24,46,7,44,2,1837,154,8.383233532934131
충남,논산시,2809,302,2803,321,2860,331,2952,437,2940,499,14364,1890,13.157894736842104
충남,부여군,968,173,982,159,887,145,959,208,990,236,4786,921,19.243627246134558
충남,서천군,1072,210,1020,189,1066,212,1050,234,1020,231,5228,1076,20.58148431522571
충남,청양군,530,81,545,86,517,90,539,97,548,115,2679,469,17.506532288167225
충남,홍성군,1851,219,1821,216,1859,245,1902,324,1985,351,9418,1355,14.387343385007433
충남,예산군,1664,237,1629,220,1636,234,1663,330,1821,387,8413,1408,16.736003803637228
충남,당진시,3450,242,2510,217,1290,137,971,118,1100,138,9321,852,9.140650144834245
충남,계룡시,492,31,510,35,516,57,483,53,504,74,2505,250,9.980039920159681
전북,전주시,16247,1059,15847,1211,16212,1301,16263,1799,17451,2405,82020,7775,9.479395269446476
전북,군산시,6444,592,6412,623,6215,647,6175,842,6695,1067,31941,3771,11.806142575373345
전북,정읍시,2506,328,2315,314,2390,346,2505,438,2614,486,12330,1912,15.506893755068937
전북,남원시,1341,190,1282,182,1355,208,1272,259,1440,301,6690,1140,17.040358744394617
전북,김제시,1864,229,1857,207,1856,267,1943,312,2132,389,9652,1404,14.5462080397845
전북,완주군,2048,188,2120,201,2269,268,2218,264,2334,336,10989,1257,11.438711438711438
전북,진안군,313,75,330,64,315,59,286,70,274,75,1518,343,22.59552042160738
전북,무주군,433,50,399,46,398,61,379,79,402,69,2011,305,15.16658378915962
전북,장수군,263,42,286,39,272,45,231,55,256,54,1308,235,17.966360856269112
전북,임실군,442,49,434,77,453,77,461,85,476,90,2266,378,16.68137687555163
전북,순창군,362,78,370,80,318,70,359,78,330,79,1739,385,22.13916043703278
전북,고창군,894,133,952,169,899,148,999,174,987,207,4731,831,17.564996829422956
