전남,무안군,154,157,168,223,290
전남,함평군,72,89,89,116,150
전남,영광군,127,143,159,175,162
전남,장성군,100,94,104,151,168
전남,완도군,68,101,92,104,112
전남,진도군,68,73,71,87,100
전남,신안군,61,72,74,74,79
경북,포항시,844,839,984,1338,1816
경북,경주시,621,652,611,843,977
경북,김천시,216,235,234,319,373
경북,안동시,326,358,417,461,567
경북,구미시,366,385,401,691,1087
경북,영주시,221,291,250,288,375
경북,영천시,246,274,286,317,449
경북,문경시,145,169,175,250,302
경북,상주시,222,256,268,319,349
경북,군위군,67,60,67,87,114
경북,의성군,129,144,148,157,186
경북,청송군,70,52,54,66,86
경북,영양군,35,36,44,35,44
경북,영덕군,92,122,107,152,143
경북,청도군,109,129,110,153,177
경북,고령군,94,85,79,115,126
경북,성주군,111,117,110,137,162
경북,칠곡군,182,212,224,308,403
경북,예천군,101,118,112,118,156
경북,봉화군,79,80,80,87,94
경북,울진군,83,85,106,116,139
경북,울릉군,10,9,17,9,10
경북,경산시,389,414,429,628,856
경남,진주시,430,468,487,679,922
경남,통영시,148,177,185,257,303
경남,김해시,533,563,596,929,1281
경남,밀양시,214,183,201,299,302
경남,거제시,184,194,193,293,479
경남,의령군,54,58,62,65,97
경남,함안군,118,139,156,216,273
경남,창녕군,141,174,171,204,258
경남,양산시,295,322,354,532,732
경남,고성군,92,94,94,142,170
경남,사천시,200,216,224,310,332
경남,남해군,96,110,110,102,141
경남,하동군,90,102,91,125,122
경남,산청군,57,79,82,94,98
경남,함양군,82,68,91,116,112
경남,거창군,102,119,141,145,161
경남,합천군,90,86,112,137,125
경남,창원시(통합),1109,718,1113,1871,2628
제주,제주시,584,612,692,896,1225
제주,서귀포시,279,311,324,422,471
