기타,23208,25077,26664,35897,45870,31343.2
시도,10246,12242,12829,15272,17775,13672.8
특별광역시도,8820,9893,10806,12429,14160,11221.6
지방도,4760,5188,5422,5453,2870,4738.6
일반국도,2486,2777,2997,3395,3776,3086.2
군도,1246,1452,1490,1885,1845,1583.6
고속국도,443,552,531,687,812,605
도로종류,2014,2015,2016,2017,2018,
